step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
355,PAYMENT,11056.91,C1110789489,16383.99,5327.08,M1693256097,0.0,0.0,0,0
36,CASH_OUT,442081.7,C1648780687,72705.0,0.0,C471623272,2312639.05,2453776.11,0,0
47,PAYMENT,4112.63,C96780867,809.0,0.0,M668949047,0.0,0.0,0,0
239,PAYMENT,1041.29,C2025474321,16364.0,15322.71,M1155334954,0.0,0.0,0,0
236,CASH_IN,56925.09,C1600087814,8712412.32,8769337.41,C1927271447,1489150.92,1432225.83,0,0
19,CASH_IN,295828.92,C525417270,2279014.43,2574843.34,C1437721378,1552567.82,1497378.29,0,0
308,CASH_OUT,83192.21,C18349053,0.0,0.0,C1615580424,1.44673075E7,1.455049971E7,0,0
299,CASH_IN,427076.38,C81734909,167804.0,594880.38,C351924640,0.0,0.0,0,0
350,CASH_IN,394557.87,C767647380,105365.0,499922.87,C758833215,0.0,0.0,0,0
166,PAYMENT,8014.82,C1284686797,106512.86,98498.04,M1084805202,0.0,0.0,0,0
330,PAYMENT,33601.8,C149418933,0.0,0.0,M72527652,0.0,0.0,0,0
21,PAYMENT,5605.85,C1472078463,0.0,0.0,M429011794,0.0,0.0,0,0
333,CASH_IN,448533.35,C1371761059,5553140.3,6001673.65,C2051531612,1369222.43,920689.09,0,0
229,CASH_OUT,159337.93,C1618411252,21281.0,0.0,C279938676,176509.35,335847.28,0,0
179,PAYMENT,14605.79,C163735303,0.0,0.0,M807363955,0.0,0.0,0,0
325,TRANSFER,2754533.38,C1159941883,20455.0,0.0,C1009510323,0.0,2754533.38,0,0
165,CASH_OUT,58094.42,C1247939755,0.0,0.0,C845221730,78533.63,136628.05,0,0
94,PAYMENT,14939.01,C1705590201,499990.52,485051.51,M1887217391,0.0,0.0,0,0
130,PAYMENT,11038.57,C1143633337,221743.16,210704.59,M797108146,0.0,0.0,0,0
181,PAYMENT,23768.37,C1130235224,0.0,0.0,M1379778681,0.0,0.0,0,0
133,PAYMENT,8714.27,C921539713,4869.0,0.0,M413972049,0.0,0.0,0,0
